tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,tweet_length,clean_text
��� WHAT? ��_ {link} ��_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product,11,link edchat musedchat sxsw sxswi classical newtwitter
".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",,No emotion toward brand or product,14,locationbased fast fun future link via sxsw
���@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw�۝ @mention,,No emotion toward brand or product,16,google connect digital amp physical world mobile link sxsw
���@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxsw�۝,Google,Positive emotion,17,talking link google effort allow user open system bettercloud sxsw
"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",,No emotion toward brand or product,21,link rt quotgoogle tweetquot new quotthink speakquot mark belinsky tweet panel sxsw
{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,Positive emotion,26,link rt st stop sxsw chaos amp hunt austin java get spy game chance win ipad
{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},,No emotion toward brand or product,16,link rt sxsw check holler gram ipad app link
@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},,No emotion toward brand or product,11,amp fun google pic sxsw link
&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,,No emotion toward brand or product,20,quotvia link guy kawasaki talk enchanted sxsw know stuff book internet apple sxsw quot
"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",,No emotion toward brand or product,15,futuremf link spec recipe web google search link sxsw
"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,No emotion toward brand or product,24,smile rt think apple quotpopup storequot austin would lot interesting actually know popped sxsw
Again? RT @mention Line at the Apple store is insane.. #sxsw,,Negative emotion,11,rt line apple store insane sxsw
Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,,No emotion toward brand or product,26,agree rt wait fiona apple town somebody kidnap put recording studio record new album sxsw
At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,,No emotion toward brand or product,18,sxsw wanna buy drink pm fado th link join u
attending @mention iPad design headaches #sxsw {link},iPad,Negative emotion,7,attending ipad design headache sxsw link
"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",,Negative emotion,14,boooo rt flipboard developing iphone version android say sxsw
Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,Positive emotion,20,check amp line ipad austin power sxswi sxsw link
Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,,No emotion toward brand or product,18,check rt giving added value location based service need battle checkin fatigue google pnid sxsw
Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,,No emotion toward brand or product,21,chilcott sxsw stand talking blogger staff late win competition best tweet mentioning tshirt
"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive emotion,21,rt come party w google tonight sxsw link band food art ice cream nifty interactive map
Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},,No emotion toward brand or product,16,gowallas promise launch foursquare checkin groupon rewardstype service sxsw finger crossed link
"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",,No emotion toward brand or product,23,haha rt sxsw news yahoocom loosing search traffic new site googlecom doubt last tho w weird name
Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive emotion,14,holla rt google party best ever get butt sxsw
I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,Positive emotion,18,love iphone case sxsw cant get phone fail
I worship @mention {link} #SXSW,,No emotion toward brand or product,5,worship link sxsw
"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",,No emotion toward brand or product,21,ipad rt droid amp mac rt agnerd confession using laptop ipad amp blackberry follow sxsw
"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",,No emotion toward brand or product,17,launching sxsw rt denies social network called circle debut today despite report link
New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive emotion,20,new post iphone app make easy connect social network people meet link sxsw
Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive emotion,13,nice iphone app behaving today crash yesterday ridiculous sxsw
Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,,No emotion toward brand or product,18,nice rt apple opening popup store ipad launch downtown austin sxsw link via
"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive emotion,23,nice rt hey apple fan get peek space thats slated popup sxsw apple store tomorrow link
"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive emotion,28,one thing great get great earth face google company love sxsw sxwsi
Stay tune @mention showcase #H4ckers {link} #SXSW,,No emotion toward brand or product,7,stay tune showcase hckers link sxsw
Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},,No emotion toward brand or product,14,thank touchingstories preso sxsw here deck link
Thank you @mention for an awesome #sxsw party! {link},,No emotion toward brand or product,9,thank awesome sxsw party link
"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",,No emotion toward brand or product,21,thanks rt youre trying contact friend family japan created person finder link sxsw
Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive emotion,21,thanks mention new speech ipad apps showcased sxsw conf link sxswh sxsh
Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,,I can't tell,20,thanks publishing news new medical apps sxswi conf blog link sxsw sxswh
Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,,No emotion toward brand or product,21,thanks publishing news new medical apps sxswi conf blog link sxsw sxswh mhealth
What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,Negative emotion,17,sxsw provide iphone charger ive changed mind going next year
Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,,No emotion toward brand or product,14,wonder amp apple flashmob tcrnchfcsj sxsw ipad
Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,,No emotion toward brand or product,12,wonder putting tip api sxsw suxsw
"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,Positive emotion,22,xmas rt shiny new apps new book popup ipad store sxsw christmas nerd
Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,Positive emotion,20,yai rt new ubersocial iphone app store includes uberguide sxsw sponsored cont link
"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",,No emotion toward brand or product,18,yes rt hey ive got another gem gt free sxsw link sxsw
"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,Positive emotion,15,fast fun amp future google presenting sxsw search local mobile
GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,,No emotion toward brand or product,16,gsdampm amp google industry party tonight see u link sxsw austin welivehere gsdm
"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",,No emotion toward brand or product,18,new buzz quot google launch major new social network called circle possibly today link rt sxswquot
Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,Positive emotion,19,headline quotipad musthave gadget sxswquot hmm could seen one coming link gadget
���@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow,,I can't tell,23,quotapple opened popup store austin nerd town sxsw get new ipads link wow
Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,,Negative emotion,13,know quotdatavizquot translates quotsatanicquot iphone im sayin sxsw
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,Positive emotion,19,quotgoogle launched checkins month agoquot check in ok check out future sxsw bizzy
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",,No emotion toward brand or product,21,quotgoogle launched checkins month agoquot check in ok check out future sxsw bizzy via
"���@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.�۝",Google,Positive emotion,19,quotgoogle tweetquot new quotthink speakquot mark belinsky tweet panel sxsw
"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",,No emotion toward brand or product,22,attending quotleft brain search google right brain search xquot bettersearch talking future search engine sxsw
"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,Positive emotion,19,kawasaki quotnot c lewis level reasoning apple continued existence evidence existence godquot bawling sxsw
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,,No emotion toward brand or product,12,kawasaki quotpagemaker saved applequot oh day sxsw jwtatl enchantment
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,Positive emotion,14,kawasaki quotpagemaker saved applequot oh day sxsw jwtatl enchantment via
Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},,Positive emotion,16,spark android teamandroid award sxsw read link
"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",,No emotion toward brand or product,8,unboxing apple sxsw apple store sxsw link
"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,Positive emotion,22,sxsw apple ipad great thought w japan apac region dealing w earthquake amp tsunami trauma sxswi
"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",,No emotion toward brand or product,13,sxsw apple school marketing expert sxsw cnet blog link
"At #SXSW, #Apple schools the marketing experts - {link}",Apple,Positive emotion,9,sxsw apple school marketing expert link
"At #SXSW, #Apple schools the marketing experts {link}",,No emotion toward brand or product,8,sxsw apple school marketing expert link
"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,Positive emotion,14,temporary apple store def tent powerhouse gym sxsw link
"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,Positive emotion,15,temporary apple store th congress sxsw along happy hipster
���@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,Positive emotion,20,apple win sxsw link opening temporary store downtown austin support ipad launch good
"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",,No emotion toward brand or product,18,headed austin sxsw check map newbie link enjoy
Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,,No emotion toward brand or product,23,funny austin trending sxsw matter minute point least according twitter iphone
Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,Positive emotion,24,christian ipad iphone devs want talk u sxsw maybe wk together cool app
The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,Positive emotion,19,apple ipad taken sxsw austin storm link excited part mobile
I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,Positive emotion,8,haz ipad ifrom sxsw gr link
"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,Positive emotion,21,stack ipads waiting bought sxsw got mine hassle apple handled perfectly link
"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",,No emotion toward brand or product,16,google mobile future elusive power link via eurorscg sxsw sxswi
"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",,No emotion toward brand or product,15,notatsxsw sxsw here link free download meet nearby pep
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,,Positive emotion,17,smallbiz need review play google placeswe got app thatlink seo sxsw
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,,No emotion toward brand or product,17,smallbiz need review play google placeswe got app thatlink seo sxsw
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",,No emotion toward brand or product,11,samsung sony follow apple hp lead link austin atx sxsw
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",,No emotion toward brand or product,14,samsung sony follow apple hp lead link austin atx sxsw via rg
"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",iPhone,Positive emotion,21,take sxsw rt major south korean director get make movie entirely iphone link
"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,Positive emotion,8,beautiful sxsw apple store sxsw pic link
Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,,No emotion toward brand or product,23,q sxsw sxswi prep amazing pre push locally focus location based google owns region billboard prchat
Any other #Sxsw accounts I need to follow or apps to download for iPhone?,,No emotion toward brand or product,14,sxsw account need follow apps download iphone
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,,No emotion toward brand or product,19,headed sxsw want sharegather contact info link turn iphone business card broadcaster
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},,No emotion toward brand or product,17,headed sxsw want sharegather contact info link turn iphone link
BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,,No emotion toward brand or product,16,btw sxsw apple store sold g model vzw amp atampt
Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,Positive emotion,19,must sxsw app rt lovely review forbes sxsw ipad app holler gram link
Temporary #sxsw apple store. Apple being sneaky as usual  {link},Apple,Positive emotion,10,temporary sxsw apple store apple sneaky usual link
Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,,No emotion toward brand or product,18,anyone sxsw popup apple store austin thats gotta hopping place today
���@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.�۝,iPad or iPhone App,Positive emotion,17,sxsw beta testing interactive book ipad app moonbot studio louisiana cool app
Apple won #SxSW from day one. Seeing a TON of #iPad2,iPad,Positive emotion,11,apple sxsw day one seeing ton ipad
Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,,No emotion toward brand or product,24,anyone sxsw chance check popup apple store wondering worth trek convention center
���@mention #sxsw ipad store sold out of everything except 64gig wifi only white�۝ @mention Did you manage to get yours?,iPad,Positive emotion,20,sxsw ipad store sold everything except gig wifi white manage get
���@mention #sxsw ipad store sold out of everything except 64gig wifi only white�۝ also known as the white jeans configuration.,iPad,Positive emotion,20,sxsw ipad store sold everything except gig wifi white also known white jean configuration
Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,iPad,Positive emotion,22,offered sxsw ipad promo ninjafinder user fan sxsw suck sxsw
@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.,,No emotion toward brand or product,18,sxsw austin conference google search interactive music film
Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,,No emotion toward brand or product,14,anyone sxsw know apple selling ipad
Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?,,No emotion toward brand or product,16,anyone sxsw know apple store new shipment ipads yet
Marc Ecko #SXSW launches #iPhone app. to autodial political change! {link} #edreform #edtech #eduVC #FightThePaddle,,No emotion toward brand or product,15,marc ecko sxsw launch iphone app autodial political change link edreform edtech eduvc fightthepaddle
@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,,Positive emotion,16,sxsw lonelyplanet austin guide iphone free limited time link lp travel
"More free #SXSW mp3 downloads, this time from iTunes: {link}",,No emotion toward brand or product,10,free sxsw mp downloads time itunes link
Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,,No emotion toward brand or product,16,anyone sxsw heading aclu event seen owt google circle
@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk,,No emotion toward brand or product,14,sxsw prompt memory go google map describe childhood walk
The Apple #SXSW store still has iPad 2's and short lines.,iPad,Positive emotion,11,apple sxsw store still ipad short line
Essential #sxsw tools: {link},,No emotion toward brand or product,4,essential sxsw tool link
"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Other Google product or service,Positive emotion,25,left sxsw tradeshow demo google theatre ok get see presenter using
"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today.",,No emotion toward brand or product,23,following sxsw tweet google realtime four platform tweet deck listening panel realizing im spoken one today
Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,,No emotion toward brand or product,29,anyone sxsw want ipad im line pick one someone willing pay grab
Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,iPad,Positive emotion,22,anyone sxsw want make quick hundred dollar new ipad ad hoc apple store get hundred plus cost
Solving a #SXSW-induced iPhone-in-toilet crisis at Apple Store with @mention (not my crisis for once),,No emotion toward brand or product,15,solving sxswinduced iphoneintoilet crisis apple store crisis
"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Google,Positive emotion,22,monday sxsw barry diller new york time congress lunch w hotel party google party six dirty martini monday
