cleaned_text,brand_target,sentiment_target,multi_class_target
many ipad snapping away keynote slide sxsw,Apple,Positive emotion,Apple-Positive emotion
new post iphone apps well using south southwest interactive link sxsw sxswi,Apple,Positive emotion,Apple-Positive emotion
sweet new google map demo going ballroom sxsw,Google,Positive emotion,Google-Positive emotion
million mile per day driving google map navigation sxsw,Google,Positive emotion,Google-Positive emotion
youre band sxsw want share track audience stage use frostwire android there wifi available,Google,Positive emotion,Google-Positive emotion
iphone dont need caruse zimride etc share ride sxsw shareable,Apple,Positive emotion,Apple-Positive emotion
picked mophie battery case iphone prep sxsw lugging around laptop amp using phone huge win last year,Apple,Positive emotion,Apple-Positive emotion
rumor monger good read google circle preview sxsw link via socbiz,Google,Positive emotion,Google-Positive emotion
hobo shotgun video game coming ipadiphone user yes please link sxsw,Apple,Positive emotion,Apple-Positive emotion
build store le hour one biggest launch company history got apple sxsw ipad,Apple,Positive emotion,Apple-Positive emotion
read groupme sxswsounds like incredible app available android phone yet,Apple,Positive emotion,Apple-Positive emotion
iphone alarm botch timechange many sxswers freak late flight missed panel behind bloody mary,Apple,Negative emotion,Apple-Negative emotion
shout lady holding ipad free sxsw show take photo sipping free beer,Apple,Positive emotion,Apple-Positive emotion
meant also wish sxsw dyac stupid iphone,Apple,Negative emotion,Apple-Negative emotion
rumor apple store opening sxsw amp congress sign point yes link,Apple,Positive emotion,Apple-Positive emotion
picked ipad sxsw pop apple store minute wait,Apple,Positive emotion,Apple-Positive emotion
brilliant enlightening game mechanic presentation google sxsw,Google,Positive emotion,Google-Positive emotion
marketing sale genius link apple sxsw,Apple,Positive emotion,Apple-Positive emotion
need sxsw ipad iphone laptop dictaphone vidcamera wow love meet real cerebellum charged people,Apple,Positive emotion,Apple-Positive emotion
sxsw app iphone ridiculous personal planner next day,Apple,Positive emotion,Apple-Positive emotion
found app kyping iphones geolocation amp releasing background need patch batterykiller sxsw,Apple,Negative emotion,Apple-Negative emotion
sxsw app iphone live rsvp event phone amp check sundayswaggereventbritecom scoremore,Apple,Positive emotion,Apple-Positive emotion
love app awesome must see android app sxsw quotbizzyquot link,Google,Positive emotion,Google-Positive emotion
sxsw apple quotpopupquot store nut still packed link,Apple,No emotion toward brand or product,Apple-No emotion toward brand or product
course apple built temp store austin texas understand concept corralling cattle sxsw pickmeupanipad,Apple,Negative emotion,Apple-Negative emotion
love apple didnt let something like retail store near sxsw keep away opening popup store link,Apple,Positive emotion,Apple-Positive emotion
surprise apple opened popup store austin nerd town sxsw get new link cnet,Apple,Positive emotion,Apple-Positive emotion
surprise apple opened popup store austin nerd town sxsw get new ipads link cnet,Apple,Positive emotion,Apple-Positive emotion
surprise apple opened popup store austin nerd town sxsw get new ipads link,Apple,Positive emotion,Apple-Positive emotion
apple great example retail store layed future register checkout line sxsw,Apple,Positive emotion,Apple-Positive emotion
apple opening temporary store downtown austin sxsw ipad launch link gswsxsw,Apple,Positive emotion,Apple-Positive emotion
apple opening temporary store downtown austin sxsw ipad launchquot yay traffic,Apple,Negative emotion,Apple-Negative emotion
sxsw apple popup store open noon fresh shipment ipad pretty sure going get one finger crossed,Apple,Positive emotion,Apple-Positive emotion
technews apple save sxsw set open popup store link technews apple sxsw tech,Apple,Positive emotion,Apple-Positive emotion
sxsw apple school marketing expert link,Apple,Positive emotion,Apple-Positive emotion
sxsw apple school marketing expert link via,Apple,Positive emotion,Apple-Positive emotion
sxsw apple school marketing expert link via ltlt true love loathe one marketing like,Apple,Positive emotion,Apple-Positive emotion
sxsw apple school marketing expert cnet link,Apple,Positive emotion,Apple-Positive emotion
sxsw apple school marketing expert cnet blog link austin atx retail,Apple,Positive emotion,Apple-Positive emotion
apple store downtown austin open til midnight sxsw۝ there still time,Apple,Positive emotion,Apple-Positive emotion
quotthe apple store mall sunday crowded line fake need fucking donglequot genius let sxsw,Apple,Negative emotion,Apple-Negative emotion
makeshift apple store congress youre kidding amazing sxsw apple,Apple,Positive emotion,Apple-Positive emotion
temporary apple store sxsw really coolas ipad apple sxsw fanboy,Apple,Positive emotion,Apple-Positive emotion
temporary apple store set sxsw shit temptation going control,Apple,Positive emotion,Apple-Positive emotion
temporary apple store open congress line already growing ipad viewio link via sxsw,Apple,Positive emotion,Apple-Positive emotion
temporary apple store block office cant wait see line tomorrow photo come sxsw ipad,Apple,Positive emotion,Apple-Positive emotion
ipad news apps last year sxsw link,Apple,Negative emotion,Apple-Negative emotion
iphone apps you۪ll probably need use sxsw link,Apple,Positive emotion,Apple-Positive emotion
million mobile google map user sxsw,Google,Positive emotion,Google-Positive emotion
android new mobile apps i۪ll using atsxsw link,Google,Positive emotion,Google-Positive emotion
ipad apps like software development release start working update sxsw,Apple,Positive emotion,Apple-Positive emotion
arrived sxsw issue hasnt resolved dying use iphone app cant login,Apple,No emotion toward brand or product,Apple-No emotion toward brand or product
overheard sxsw quotthe ipad relaxing computerquot agreed ipad apple,Apple,Positive emotion,Apple-Positive emotion
overheard sxsw interactive quotarg hate iphone want blackberry backquot shocked,Apple,Negative emotion,Apple-Negative emotion
sxsw quotapple come cool technology one ever heard dont conferencesquot۝,Apple,Negative emotion,Apple-Negative emotion
last year sxswi everbody talking ipad year social medium driven revolution year better sxsw,Apple,Positive emotion,Apple-Positive emotion
long line apple pop store ipad great marketing apple sxsw,Apple,Positive emotion,Apple-Positive emotion
google people work people rather people work agileagency sxsw۝,Google,Positive emotion,Google-Positive emotion
knackered home playing ipad updating iphone timeline smashed partytweets cant make bed sxsw,Apple,Positive emotion,Apple-Positive emotion
overheard mdw ill second quothalfway iphone battery already havent even boarded plane sxswquot amateurhour,Apple,Negative emotion,Apple-Negative emotion
technews sxsw apple school marketing expert link technews apple jobsco sxsw tech,Apple,Positive emotion,Apple-Positive emotion
huge line apple store austin sxsw crowd tripping get new ipad,Apple,Positive emotion,Apple-Positive emotion
google aclu partyu sxsw,Google,Positive emotion,Google-Positive emotion
laughed ipad spent week hauling macbook everywhere really want ipad shoulder rub sxsw,Apple,Positive emotion,Apple-Positive emotion
sxsw attendee need code reader iphone tweet image badge first get optiscan free,Apple,Positive emotion,Apple-Positive emotion
hey sxsw attendeesyou hop line apple store four day til new ipad come,Apple,Positive emotion,Apple-Positive emotion
took away lego pit replaced recharging station sxsw might check price iphone crap samsung android,Google,Negative emotion,Google-Negative emotion
bad apple show late process poopoos idea leaf early even quotim creativequot busy gamestorming sxsw,Apple,Negative emotion,Apple-Negative emotion
trying balance power power need iphone ipad sxsw ipad suck quick might airplane mode,Apple,Negative emotion,Apple-Negative emotion
iphone battery winning sxsw,Apple,Positive emotion,Apple-Positive emotion
iphone battery cant keep tweet thanks apple sxsw precommerce,Apple,Negative emotion,Apple-Negative emotion
fun watch ipadmadness apple opening popup store austin sxsw link sxsw,Apple,Positive emotion,Apple-Positive emotion
control apple set open popup shop core sxsw action link via,Apple,Positive emotion,Apple-Positive emotion
celebrate beauty web msft launch amp play new html game win ipad link sxsw,Apple,Positive emotion,Apple-Positive emotion
best thing ive heard weekend sxsw quoti gave ipad money japan relief dont need ipad quot,Apple,Negative emotion,Apple-Negative emotion
ipad betterthey time improve sxsw,Apple,Positive emotion,Apple-Positive emotion
link beyond earth hour year sharing positive action world download earthhour iphone app sxsw,Apple,Positive emotion,Apple-Positive emotion
google bing bettersearch bing shot success structured search potentially higher margin cpa model google sxsw,Google,Negative emotion,Google-Negative emotion
course bing result good google seo sxsw qagb,Google,Positive emotion,Google-Positive emotion
impulsive buy friend sxsw one selling gen ipad,Apple,Positive emotion,Apple-Positive emotion
buying new ipads geekdate apple sxsw ipad۝,Apple,Positive emotion,Apple-Positive emotion
someone buying present apple opening popup store austin sxsw link,Apple,Positive emotion,Apple-Positive emotion
nice find rsqs link sxsw ipad app,Apple,Positive emotion,Apple-Positive emotion
exciting can۪t wait apple opening temporary store downtown austin sxsw amp ipad launch link,Apple,Positive emotion,Apple-Positive emotion
great certain meeting hello holler gram new ipad app link hollergram sxsw,Apple,Positive emotion,Apple-Positive emotion
dont miss charles chen androidchromeos access sxsw google booth exhibit hall sxsw,Google,Positive emotion,Google-Positive emotion
ipad coming sxsw guess apple pretty desperate give attention,Apple,Negative emotion,Apple-Negative emotion
youre coming sxsw sure download sxsw app schedule location event link,Apple,Positive emotion,Apple-Positive emotion
seriously considering leaving macbook pro home flying solo ipad week think make work sxsw,Apple,Positive emotion,Apple-Positive emotion
four day ipad sxsw weekend battlela,Apple,Positive emotion,Apple-Positive emotion
iphone dead find secret batphone sxsw,Apple,Negative emotion,Apple-Negative emotion
google demo league extraordinary hacker cool stuff like web apps google sxsw lxh,Google,Positive emotion,Google-Positive emotion
best ipad design big chunky element generous space clarity trump density tap quality trump tap quantity tapworthy sxsw,Apple,Positive emotion,Apple-Positive emotion
attending designing ipad interface new navigation schema great stuff far sxsw,Apple,Positive emotion,Apple-Positive emotion
barry diller think ipad content nut sxsw link,Apple,Negative emotion,Apple-Negative emotion
really need another big social network right thanks sxsw google link,Google,Positive emotion,Google-Positive emotion
japan docomo introduced mobile apps six year apple came app store jpmobilesummit sxsw,Apple,Negative emotion,Apple-Negative emotion
jeez guy dunno apple popup gold gym realize unjobsaesthetic sxsw apple,Apple,Negative emotion,Apple-Negative emotion
even begin apple win sxsw link apple,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw link,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw link opening temporary store downtown austin support ipad launch genius,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw techcrunch link ipad,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw link,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw link,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw link,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw link via,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw link,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw link via,Apple,Positive emotion,Apple-Positive emotion
even begin apple winssxsw link gon get sum via,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw techcrunch link sxsw,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw link ltlt win big sxsw,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw link apple ipad sxsw,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw link apple ipad sxsw,Apple,Positive emotion,Apple-Positive emotion
even begin apple winssxsw link apple sxsw,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw link apple ipad sxsw,Apple,Positive emotion,Apple-Positive emotion
even begin apple winssxsw link via apple sxsw,Apple,Positive emotion,Apple-Positive emotion
even begin apple win sxsw link via apple sxsw,Apple,Positive emotion,Apple-Positive emotion
badgeless event free drink heading free googlesponsored happy hour semantic web austin fogo cho sxsw۝,Google,Positive emotion,Google-Positive emotion
best swag ever thanks charging iphone thanks sxsw link,Apple,Positive emotion,Apple-Positive emotion
timing everything ipad brand winner sxsw link pnid sxsw,Apple,Positive emotion,Apple-Positive emotion
hey sxsw exhibitor capture booth experience retrollect disc popular disc win ipad link,Apple,Positive emotion,Apple-Positive emotion
photo far best sxsw accessory ipad followed closely margarita link,Apple,Positive emotion,Apple-Positive emotion
one fav photo sxsw far amp google sxsw link,Google,Positive emotion,Google-Positive emotion
think fell bit love google today thanks throwing nerd party speakeasy sxsw,Google,Positive emotion,Google-Positive emotion
way figure ipad good replacement making sxsw year,Apple,Positive emotion,Apple-Positive emotion
need find better sxsw stream follow inane ipad tweet surely southby,Apple,Negative emotion,Apple-Negative emotion
google focusing bridging digitalphysical divide map streetview hotpot amp autonomous driving sxsw,Google,Positive emotion,Google-Positive emotion
hey sxsw folk please keep posted google circle hope youre blast link,Google,Positive emotion,Google-Positive emotion
good news austinbound apple fanboys link sxsw ipad,Apple,Positive emotion,Apple-Positive emotion
wish list tech ntn sxsw google apps help level playing field kid may software home,Google,Positive emotion,Google-Positive emotion
hitlantis ipad cool song explorer app hitlantiscom sxsw musicviz,Apple,Positive emotion,Apple-Positive emotion
friend sxsw willing pick ipad pay premium sxsw atl link,Apple,Positive emotion,Apple-Positive emotion
good talk akqas ipad interface callback design principle wish beyond mediamarketing example sxsw,Apple,Positive emotion,Apple-Positive emotion
person front took picture new ipad sxsw,Apple,Positive emotion,Apple-Positive emotion
marketing genius apple open pop store outside sxsw link,Apple,Positive emotion,Apple-Positive emotion
get ready word quotcirclesquot trending sxswi sxsw google circle social,Google,Positive emotion,Google-Positive emotion
get food dont forget snap photo win macbook air ipad apple sxsw,Apple,Positive emotion,Apple-Positive emotion
austin getting full sxsw underway tell iphone intermittent brick crowded,Apple,Negative emotion,Apple-Negative emotion
google giving free google lab laptop open source coder attending meetup sxsw got cupcake,Google,Positive emotion,Google-Positive emotion
sxsw app available blackberry window addition iphone ipad android link,Apple,Positive emotion,Apple-Positive emotion
want apple popup store afraid ill leave new ipad sxsw,Apple,Positive emotion,Apple-Positive emotion
omgim going sxsw macbook pro ipad iphone ipod galaxy tab techgeek,Apple,Positive emotion,Apple-Positive emotion
haha google quotparty like quot party link sxsw,Google,No emotion toward brand or product,Google-No emotion toward brand or product
google circle first real alternative facebook sxsw,Google,Positive emotion,Google-Positive emotion
google let block site cant stand link sxsw blocking look like need,Google,Positive emotion,Google-Positive emotion
google launch major new social network called circle possibly today link sxsw۝ itll never beat myspace,Google,Negative emotion,Google-Negative emotion
google launch major new social network called circle possibly today link sxsw۝ bigger gaga,Google,Positive emotion,Google-Positive emotion
google launch major new social network called circle possibly today link sxsw۝ super interesting,Google,Positive emotion,Google-Positive emotion
diller google quotthe first product wasnt good wasnt consumer product basicallyquot sxsw diller,Google,No emotion toward brand or product,Google-No emotion toward brand or product
google connect digital amp physical world mobile link sxsw,Google,Positive emotion,Google-Positive emotion
future google contextual discovery location context help deeper ever search without search sxsw,Google,Positive emotion,Google-Positive emotion
check googletv ipad apps connected experience sxsw link sxsw connectedtv,Apple,Positive emotion,Apple-Positive emotion
check googletv ipad apps connected experience sxsw link sxsw connectedtv fascinating,Apple,Positive emotion,Apple-Positive emotion
mscpage guy get tattoo sxsw could win free ipad link sxsw tattoo ipad link allshare,Apple,No emotion toward brand or product,Apple-No emotion toward brand or product
ipad hand awesome dude gave cutsies hour line austin apple sxsw winning,Apple,Positive emotion,Apple-Positive emotion
smtravel hasnt heard google plan launch socnet may quotcirclesquot learned lot year lot changed via sxsw,Google,Positive emotion,Google-Positive emotion
ive meeting line sxsw popup apple store ipad love place,Apple,Positive emotion,Apple-Positive emotion
lordy time apple store sxsw open pulling ipad trigger,Apple,Positive emotion,Apple-Positive emotion
loved honesty google marissa mayer keynote many product need step customer service location sxsw,Google,Positive emotion,Google-Positive emotion
hey sxsw bout donating spending new ipad japan really need thing,Apple,Negative emotion,Apple-Negative emotion
could forget cell phone today sxsw fail glad ipad lifelinetotheworld,Apple,Positive emotion,Apple-Positive emotion
iphone hr tweeting riseaustin dead need upgrade plugin station sxsw,Apple,Negative emotion,Apple-Negative emotion
feeling sxsw worst place try amp get ipad everyone trying get one techiesunite,Apple,Negative emotion,Apple-Negative emotion
love macbook ipad iphone sxsw year one run juice jump next,Apple,Positive emotion,Apple-Positive emotion
holy cow got hooked paolo alex backup charger iphone facebookcompowermat powermatteam sxsw thanks,Apple,Positive emotion,Apple-Positive emotion
holy cow got hooked paolo alex backup charger iphone facebookcompowermat powermattteam sxsw thanks,Apple,Positive emotion,Apple-Positive emotion
knew plied beer stogy last night weasel way team android party tonight success sxsw,Google,Positive emotion,Google-Positive emotion
thought would use ipad lot sxsw havent even touched hmmzies,Apple,Negative emotion,Apple-Negative emotion
beyond frustrated samsung moment runaround amp leaving att amp iphone enjoy sxsw,Apple,Positive emotion,Apple-Positive emotion
idea startupbus thing addictive link sxsw also added android app,Google,Positive emotion,Google-Positive emotion
hotspot data speed could keep also thanks apple releasing io time sxsw,Apple,Positive emotion,Apple-Positive emotion
wondering ppl sxsw friday queue convention centre apple store still figuring wot ill,Apple,Positive emotion,Apple-Positive emotion
youre room full people wgood wifi sxsw run frostwire android link share pic apps vids wothers,Google,Positive emotion,Google-Positive emotion
youre room full people wgood wifi sxsw run frostwire android link share pic apps vids wothers,Google,Positive emotion,Google-Positive emotion
hot spot austin gowalla right convention cnt ignite party apple store sxsw sxswi,Apple,Positive emotion,Apple-Positive emotion
need sweet mac goodness sxsw apple set temporary store downtown link,Apple,Positive emotion,Apple-Positive emotion
zite intelligent ipad magazine link deliciousness sxsw trending youneedthis,Apple,Positive emotion,Apple-Positive emotion
google interested location based tech indoor venue business convention center etc tech need improve first sxsw,Google,Negative emotion,Google-Negative emotion
tim soos invisible instrument jaw dropping iphonewii controller link lovemusicapi sxsw,Apple,Positive emotion,Apple-Positive emotion
rockin ipad downtown apple sxsw store apple,Apple,Positive emotion,Apple-Positive emotion
awesome ipad jailbreak link grateful dead fab sxsw,Apple,Positive emotion,Apple-Positive emotion
new post ipad launch huge line apple popup shop austin link sxsw sxswi,Apple,Positive emotion,Apple-Positive emotion
ipad sold went new buyer report link sxsw socialmedia tech ipad media۝,Apple,Positive emotion,Apple-Positive emotion
remaining ipad stock sxsw apple store come get one link,Apple,Positive emotion,Apple-Positive emotion
ipad accessory bag thanks sxsw,Apple,Positive emotion,Apple-Positive emotion
sxsw ipad app pure gold,Apple,Positive emotion,Apple-Positive emotion
check ipad design headache tablet call morning sxsw link sxsw tapworthy,Apple,No emotion toward brand or product,Apple-No emotion toward brand or product
first ipad design headache tablet call morning sxsw tapworthy,Apple,No emotion toward brand or product,Apple-No emotion toward brand or product
first ipad didnt even exist last year already feel like pulling antique everytime use ipad sxsw ipad,Apple,Negative emotion,Apple-Negative emotion
turn ipad physical messaging platform holler gram cheeky app built sxsw link,Apple,Positive emotion,Apple-Positive emotion
shoot ipad display search result question later osmpw sxsw,Apple,Negative emotion,Apple-Negative emotion
pic ipadwinning performance link sxsw accordion toodamnlucky,Apple,Positive emotion,Apple-Positive emotion
fear iphone att slowpoke network sxsw amp sxswmusic,Apple,Positive emotion,Apple-Positive emotion
sxsw iphone app mocking like money come,Apple,Negative emotion,Apple-Negative emotion
sxsw iphone app one worst ive use long time,Apple,Negative emotion,Apple-Negative emotion
cool iphone app launched sxsw flypost community bulletin board location learn link link,Apple,Positive emotion,Apple-Positive emotion
pedicab iphone charger would epic win sxsw,Apple,Positive emotion,Apple-Positive emotion
check iphone developer meet sxsw link sxsw,Apple,Positive emotion,Apple-Positive emotion
quotthe iphone transient device used short burst ipad couch devicequot sxsw,Apple,Positive emotion,Apple-Positive emotion
disliking iphone twitter auto shortening link sxsw,Apple,Negative emotion,Apple-Negative emotion
iphone clearly positively happily sxsw,Apple,Positive emotion,Apple-Positive emotion
flipboard developing iphone version android say sxsw,Apple,Positive emotion,Apple-Positive emotion
iphone overheating many british sounding people texas sxsw,Apple,Negative emotion,Apple-Negative emotion
link part presentation sxsw good thing crashing instead work best iphoneandroid,Apple,Positive emotion,Apple-Positive emotion
sister throwing google sxsw party tonigh come link band food art ice cream nifty interactive sxsw,Google,Positive emotion,Google-Positive emotion
walking around sxsw staring iphone like everyone else۝ ummmmditto,Apple,No emotion toward brand or product,Apple-No emotion toward brand or product
iphone wilting stress sxsw,Apple,Negative emotion,Apple-Negative emotion
believe almost always use google map iphone google map use mobile say sxsw,Google,Positive emotion,Google-Positive emotion
course sxsw get apple store link geeksrule,Apple,Positive emotion,Apple-Positive emotion
got get hey taariq howdy texas fav sxsw app link ltandroidor get iphone usguys,Apple,Positive emotion,Apple-Positive emotion
